Teams,Tag,P,W,T,L,F,A,Dif,Pts,,,
(5-3),2,2,2,4,10,,,,,,,
(6-3),0,0,0,0,0,,,,,,,
Shadow Team,111,114,111,0,336,389,-53,L,0,10,R,
ayanami,43,32,25,100,2,,,,,,,
Jorge (1) / Broly (11),20,44,24,88,5,,,,,,,
Agger,32,18,26,76,7,,,,,,,
JesusST,14,16,33,63,8,,,,,,,
Francis,2,4,3,9,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/11/22,By,8,G4L,2,47,,,,,,,
By vs G4L (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
zilla,45,30,49,124,1,,,,,,,
Declan,24,39,32,95,3,,,,,,,
Fire,29,35,23,87,5,,,,,,,
jck,24,17,39,80,6,,,,,,,
Todd,2,0,3,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Brutality,124,121,146,0,391,344,47,W,8,2,R,
(7-1),2,0,2,4,8,,,,,,,
(1-7),0,2,0,0,2,,,,,,,
Geek for Life,120,123,101,0,344,391,-47,L,2,8,R,
JordanFR,35,36,27,98,2,,,,,,,
VicZ,28,39,23,90,4,,,,,,,
ff go next,24,34,19,77,7,,,,,,,
u mirin brah,31,10,28,69,8,,,,,,,
DemonMK,2,4,4,10,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/12/22,By,10,Cy,0,102,,,,,,,
By vs Cy (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Fire,46,41,48,135,1,,,,,,,
jck,42,25,43,110,2,,,,,,,
Declan,20,42,34,96,3,,,,,,,
zilla,16,41,14,71,7,,,,,,,
Todd,2,1,2,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Brutality,126,150,141,0,417,315,102,W,10,0,R,
(8-1),2,2,2,4,10,,,,,,,
(4-4),0,0,0,0,0,,,,,,,
Contingency White,118,94,103,0,315,417,-102,L,0,10,R,
HenryUS,27,37,28,92,4,,,,,,,
DanUK,27,30,29,86,5,,,,,,,
Klyde,44,16,12,72,6,,,,,,,
Monty,18,8,32,58,8,,,,,,,
got on dbd,2,3,2,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/12/22,GAMT,8,G4L,2,26,,,,,,,
GAMT vs G4L (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
ryannnn,33,30,39,102,2,,,,,,,
Marky,36,23,37,96,3,,,,,,,
Arvo,33,13,50,96,3,,,,,,,
Eric,32,23,20,75,7,,,,,,,
Log,3,3,4,10,9,OP Scr,+/-,WTD,TpF,TpA,Event,
George Arvo Mark Toad,137,92,150,0,379,353,26,W,8,2,R,
(6-1),2,0,2,4,8,,,,,,,
(1-8),0,2,0,0,2,,,,,,,
Geek for Life,107,152,94,0,353,379,-26,L,2,8,R,
Shura,34,41,33,108,1,,,,,,,
VicZ,20,50,20,90,5,,,,,,,
JordanFR,35,21,24,80,6,,,,,,,
u mirin brah,17,39,17,73,8,,,,,,,
DemonMK,1,1,0,2,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/13/22,By,8,GAMT,2,11,,,,,,,
By vs GAMT (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Jack,38,46,38,122,1,,,,,,,
Spade,31,22,42,95,2,,,,,,,
Fire,32,27,29,88,4,,,,,,,
Emperor,18,30,23,71,8,,,,,,,
Todd,1,1,2,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Brutality,120,126,134,-25,355,344,11,W,8,2,R,
(9-1),0,2,2,4,8,,,,,,,
(6-2),2,0,0,0,2,,,,,,,
George Arvo Mark Toad,124,109,111,0,344,355,-11,L,2,8,R,
Luna,32,40,20,92,3,,,,,,,
Mark,33,27,28,88,4,,,,,,,
Ryan,34,16,30,80,6,,,,,,,
Arvo,22,24,30,76,7,,,,,,,
Log,3,2,3,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/19/22,TNG,10,G4L,0,F,,,,,,,
TNG vs G4L (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,OP Scr,+/-,WTD,TpF,TpA,Event,
The Nice Guys,100,100,100,300,300,0,300,W,10,0,R,
(5-4),2,2,2,4,10,,,,,,,
(1-9),0,0,0,0,0,,,,,,,
Geek for Life,0,0,0,0,0,300,-300,L,0,10,R,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/19/22,ST,8,Cy,2,40,,,,,,,
ST vs Cy (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Saru Bot,50,33,37,120,1,,,,,,,
ayanami,38,39,38,115,2,,,,,,,
JesusST,19,26,39,84,5,,,,,,,
Gabo,30,11,21,62,8,,,,,,,
Kyu,2,2,1,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Shadow Team,139,111,136,0,386,346,40,W,8,2,R,
(7-3),2,0,2,4,8,,,,,,,
(4-5),0,2,0,0,2,,,,,,,
Contingency White,105,133,108,0,346,386,-40,L,2,8,R,
Monty,41,35,26,102,3,,,,,,,
HenryUS,16,41,36,93,4,,,,,,,
Cy Klyde,26,32,17,75,6,,,,,,,
DanUK,20,23,26,69,7,,,,,,,
got on dbd,2,2,3,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/20/22,bz,8,GAMT,2,22,,,,,,,
bz vs GAMT (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Nikos Alachiass,34,35,40,109,2,,,,,,,
Shiv,32,45,23,100,3,,,,,,,
Gisko,28,32,34,94,4,,,,,,,
Cobra,19,20,32,71,7,,,,,,,
Lxddz,0,2,1,3,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Ici Ca Bz,113,134,130,0,377,355,22,W,8,2,R,
(6-3),0,2,2,4,8,,,,,,,
(6-3),2,0,0,0,2,,,,,,,
George Arvo Mark Toad,131,110,114,0,355,377,-22,L,2,8,R,
ryannnn,48,32,36,116,1,,,,,,,
GAMT Arvo,36,20,35,91,5,,,,,,,
GAMT Eric,27,29,21,77,6,,,,,,,
GAMT Logan,16,27,19,62,8,,,,,,,
Log,4,2,3,9,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/20/22,Cy,8,bz,2,6,,,,,,,
Cy vs bz (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
DanUK,34,30,37,101,3,,,,,,,
Cy Klyde,26,30,38,94,5,,,,,,,
Storm,19,43,24,86,6,,,,,,,
HenryUS,25,34,21,80,7,,,,,,,
Ozzy,2,3,3,8,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Contingency White,106,140,123,0,369,363,6,W,8,2,R,
(5-5),0,2,2,4,8,,,,,,,
(6-4),2,0,0,0,2,,,,,,,
Ici Ca Bz,138,104,121,0,363,369,-6,L,2,8,R,
Nikos Alachiass,30,44,36,110,1,,,,,,,
Cobra,53,16,35,104,2,,,,,,,
Lxddz,37,27,32,96,4,,,,,,,
Gisko,16,16,17,49,8,,,,,,,
Shiv,2,1,1,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/20/22,TNG,8,GAMT,2,75,,,,,,,
TNG vs GAMT (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Chaos,47,14,54,115,1,,,,,,,
rey,36,31,46,113,2,,,,,,,
brisk,38,25,14,77,6,,,,,,,
Dino,26,32,14,72,7,,,,,,,
connor,3,1,0,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
The Nice Guys,150,103,128,0,381,306,75,W,8,2,R,
(6-4),2,0,2,4,8,,,,,,,
(6-4),0,2,0,0,2,,,,,,,
George Arvo Mark Toad,94,141,116,-45,306,381,-75,L,2,8,R,
Arvo,30,46,25,101,3,,,,,,,
Marky,25,37,32,94,4,,,,,,,
Ryan,22,28,28,78,5,,,,,,,
Eric,16,27,20,63,8,,,,,,,
Log,1,3,11,15,9,,,,,,,
