Teams,Tag,P,W,T,L,F,A,Dif,Pts,,,
Todd,1,2,4,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Brutality,163,137,137,0,437,295,142,W,10,0,R,
(2-0),2,2,2,4,10,,,,,,,
(0-2),0,0,0,0,0,,,,,,,
Geek for Life,81,107,107,0,295,437,-142,L,0,10,R,
JordanFR,32,37,29,98,3,,,,,,,
VicZ,16,36,26,78,6,,,,,,,
Snoop,18,16,34,68,7,,,,,,,
froej,12,16,18,46,8,,,,,,,
FK Yazid,3,2,0,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/22/2022,GAMT,8,TNG,2,86,,,,,,,
GAMT v. TNG (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
ryannnn,44,34,52,130,1,,,,,,,
GAMT Eric,44,27,28,99,2,,,,,,,
Luna,26,26,38,90,3,,,,,,,
GAMT Logan,31,26,27,84,5,,,,,,,
Log,3,1,2,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
George Arvo Mark Toad,148,114,147,-20,389,303,86,W,8,2,R,
(2-0),2,0,2,4,8,,,,,,,
(0-2),0,2,0,0,2,,,,,,,
The Nice Guys,96,130,97,-20,303,389,-86,L,2,8,R,
Luk3,30,32,25,87,4,,,,,,,
brisk,15,46,23,84,5,,,,,,,
The Beast,33,26,18,77,7,,,,,,,
Rey,17,23,29,69,8,,,,,,,
Kaizo,1,3,2,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/23/2022,G4L,10,Qnt,0,128,,,,,,,
G4L v. Qnt (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
VicZ,39,50,25,114,1,,,,,,,
JordanFR,34,29,49,112,2,,,,,,,
Lukas,41,14,50,105,3,,,,,,,
DemonMK,32,43,22,97,4,,,,,,,
FK Yazid,0,1,1,2,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Geek for Life,146,137,147,0,430,302,128,W,10,0,R,
(1-2),2,2,2,4,10,,,,,,,
(0-3),0,0,0,0,0,,,,,,,
Quintessence,98,107,97,0,302,430,-128,L,0,10,R,
Ben,10,39,43,92,5,,,,,,,
Locky,26,28,24,78,6,,,,,,,
Aqua,36,17,9,62,7,,,,,,,
Krapel,22,20,18,60,8,,,,,,,
Cole,4,3,3,10,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/23/2022,Cy,6,GAMT,4,12,,,,,,,
Cy v. GAMT (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Klover,34,39,30,103,2,,,,,,,
DanUK,30,32,39,101,3,,,,,,,
Klyde,32,20,41,93,4,,,,,,,
Henry,20,29,23,72,8,,,,,,,
