Teams,Tag,P,W,T,L,F,A,Dif,Pts,,,
Apocalypse,Ap,10,8,0,2,3758,3461,297,73,,Matches,40
Berserk,B,10,7,0,3,3750,3499,251,66,,Completed,40
Long Shaft University,LSU,10,7,0,3,3714,3578,136,59,,,
Megavolt,MV,10,5,0,5,3717,3512,205,53,,Sum of Wins,39
Curse,HEX,10,3,1,6,3523,3751,-228,38,,Sum of Losses,39
Explorers of Time,EXO,10,4,0,6,3471,3839,-368,37,,,
Lightspeed Kitty Cats,[L],10,3,0,7,3563,3637,-74,37,,,
Lethal Vengeance,LV,10,2,1,7,3512,3731,-219,37,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/14/22,EXO,7,LV,3,26,,,,,,,
EXO vs LV (7-3),GP1,GP2,GP3,Total,Place,,,,,,,
Maxx,35,40,40,115,1,,,,,,,
Yoshter,40,34,17,91,3,,,,,,,
Zane,24,32,30,86,5,,,,,,,
Orange,23,33,24,80,7,,,,,,,
Garry,0,3,4,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Explorers of Time,122,142,115,0,379,353,26,W,7,3,R,
(1-0),1,2,0,4,7,,,,,,,
(0-1),1,0,2,0,3,,,,,,,
Lethal Vengeance,122,102,129,0,353,379,-26,L,3,7,R,
stripe,34,24,39,97,2,,,,,,,
Psycho,29,26,35,90,4,,,,,,,
Stubbz,33,34,16,83,6,,,,,,,
Ivan,22,17,39,78,8,,,,,,,
Zale,4,1,0,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/14/22,Ap,9,LV,1,112,,,,,,,
Ap vs LV (9-1),GP1,GP2,GP3,Total,Place,,,,,,,
Batcake,45,24,43,112,1,,,,,,,
MGB,30,39,36,105,2,,,,,,,
Slidair,37,17,45,99,3,,,,,,,
Beat,31,30,32,93,5,,,,,,,
Boodog9,1,2,0,3,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Apocalypse,144,112,156,0,412,300,112,W,9,1,R,
(1-0),2,1,2,4,9,,,,,,,
(0-2),0,1,0,0,1,,,,,,,
Lethal Vengeance,100,132,88,-20,300,412,-112,L,1,9,R,
Stubbz,28,49,21,98,4,,,,,,,
Ivan,24,28,26,78,6,,,,,,,
stripe,21,28,19,68,7,,,,,,,
Wake Up Mr West,24,25,15,64,8,,,,,,,
Zale,3,2,7,12,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/15/22,MV,8,[L],2,18,,,,,,,
MV vs [L] (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Jorge,45,47,17,109,1,,,,,,,
Az,19,30,49,98,3,,,,,,,
64,44,29,25,98,3,,,,,,,
yax,20,20,24,64,8,,,,,,,
sebas,2,1,3,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Megavolt,130,127,118,0,375,357,18,W,8,2,R,
(1-0),2,2,0,4,8,,,,,,,
(0-1),0,0,2,0,2,,,,,,,
Lightspeed Kitty Cats,114,117,126,0,357,375,-18,L,2,8,R,
Christan,30,36,36,102,2,,,,,,,
macy,33,34,26,93,5,,,,,,,
Kara,24,22,35,81,6,,,,,,,
Iris,25,22,28,75,7,,,,,,,
Maxi,2,3,1,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/15/22,HEX,6,B,4,10,,,,,,,
HEX vs B (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Zoan,35,26,44,105,1,,,,,,,
Olifre,29,37,38,104,2,,,,,,,
Night,20,34,29,83,7,,,,,,,
Toto,23,19,29,71,8,,,,,,,
Shaka,1,3,4,8,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Curse,108,119,144,0,371,361,10,W,6,4,R,
(1-0),0,0,2,4,6,,,,,,,
(0-1),2,2,0,0,4,,,,,,,
Berserk,136,125,100,0,361,371,-10,L,4,6,R,
Yasuo,38,32,24,94,3,,,,,,,
Kapera,24,32,34,90,4,,,,,,,
sukay,36,30,21,87,5,,,,,,,
Hyp,35,30,21,86,6,,,,,,,
Finite,3,1,0,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/16/22,B,10,[L],0,55,,,,,,,
B vs [L] (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Yasuo,49,54,52,155,1,,,,,,,
Rise,36,35,16,87,4,,,,,,,
Hyp,22,21,34,77,6,,,,,,,
Kapera,23,24,23,70,7,,,,,,,
Finite,1,4,2,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Berserk,131,138,127,-5,391,336,55,W,10,0,R,
(1-1),2,2,2,4,10,,,,,,,
(0-2),0,0,0,0,0,,,,,,,
Lightspeed Kitty Cats,113,106,117,0,336,391,-55,L,0,10,R,
Solar,29,32,31,92,2,,,,,,,
macy,23,34,34,91,3,,,,,,,
Jed,33,26,19,78,5,,,,,,,
Justin,25,14,31,70,7,,,,,,,
Maxi,3,0,2,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/16/22,MV,10,HEX,0,58,,,,,,,
MV vs HEX (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
yax,32,40,44,116,,,,,,,,
Jack,26,38,48,112,,,,,,,,
Fernandez,36,40,27,103,,,,,,,,
64,8,26,20,54,,,,,,,,
sebas,3,2,1,6,,OP Scr,+/-,WTD,TpF,TpA,Event,
Megavolt,105,146,140,0,391,333,58,W,10,0,R,
(X-X),2,2,2,4,10,,,,,,,
(X-X),0,0,0,0,0,,,,,,,
Curse,79,138,116,0,333,391,-58,L,0,10,R,
Thomas,26,41,30,97,,,,,,,,
Zoan,20,30,31,81,,,,,,,,
Olifre,16,31,31,78,,,,,,,,
Kazam (3) / Night (9),16,34,21,71,,,,,,,,
Shaka,1,2,3,6,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/16/22,LSU,10,EXO,0,75,,,,,,,
