Teams,Tag,P,W,T,L,F,A,Dif,Pts,,,
LSU vs EXO (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
brody,55,39,37,131,1,,,,,,,
Trippy,20,50,44,114,2,,,,,,,
sam,20,30,31,81,4,,,,,,,
rerim,32,15,20,67,7,,,,,,,
sully,3,3,2,8,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Long Shaft University,130,137,134,0,401,326,75,W,10,0,R,
(2-0),2,2,2,4,10,,,,,,,
(1-1),0,0,0,0,0,,,,,,,
Explorers of Time,114,107,110,-5,326,401,-75,L,0,10,R,
tekken,43,25,36,104,3,,,,,,,
Zane,29,28,22,79,5,,,,,,,
Yoshter,23,22,34,79,5,,,,,,,
Solo,18,31,16,65,8,,,,,,,
Garry,1,1,2,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/18/22,[L],7,LSU,3,18,,,,,,,
[L] vs LSU (7-3),GP1,GP2,GP3,Total,Place,,,,,,,
macy,37,35,49,121,2,,,,,,,
Solar,41,38,27,106,3,,,,,,,
Kara,20,31,23,74,6,,,,,,,
Iris,21,16,30,67,7,,,,,,,
Maxi (9) / Miles (3),2,2,3,7,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Lightspeed Kitty Cats,121,122,132,0,375,357,18,W,7,3,R,
(1-2),0,1,2,4,7,,,,,,,
(1-1),2,1,0,0,3,,,,,,,
Long Shaft University,123,122,112,0,357,375,-18,L,3,7,R,
Brody,46,50,26,122,1,,,,,,,
Sam,37,21,28,86,4,,,,,,,
Rerim,22,26,34,82,5,,,,,,,
4Vex,16,23,23,62,8,,,,,,,
Sully,2,2,1,5,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/18/22,Ap,10,LSU,0,86,,,,,,,
Ap vs LSU (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
MGB,42,43,36,121,1,,,,,,,
Batcake,47,30,37,114,3,,,,,,,
Beat,24,38,39,101,4,,,,,,,
Slidair,12,38,18,68,6,,,,,,,
Boodog9,2,2,1,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Apocalypse,127,151,131,0,409,323,86,W,10,0,R,
(2-0),2,2,2,4,10,,,,,,,
(1-2),0,0,0,0,0,,,,,,,
Long Shaft University,117,93,113,0,323,409,-86,L,0,10,R,
Trippy,36,36,47,119,2,,,,,,,
Rainbow Dash,33,21,18,72,5,,,,,,,
brody,31,12,24,67,7,,,,,,,
sam,15,22,21,58,8,,,,,,,
sully,2,2,3,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/20/22,[L],8,HEX,2,84,,,,,,,
[L] vs HEX (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
macy,36,46,54,136,1,,,,,,,
Christan,43,20,32,95,3,,,,,,,
Jed,26,40,24,90,4,,,,,,,
Iris,29,23,36,88,5,,,,,,,
Maxi,3,0,2,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Lightspeed Kitty Cats,137,129,148,-20,394,310,84,W,8,2,R,
(2-2),2,0,2,4,8,,,,,,,
(1-2),0,2,0,0,2,,,,,,,
Curse,107,115,88,0,310,394,-84,L,2,8,R,
Olifre,41,36,25,102,2,,,,,,,
Toto,23,36,26,85,6,,,,,,,
Zoan (8) / Zinou (4),21,25,21,67,7,,,,,,,
Night,21,14,14,49,8,,,,,,,
Shaka,1,4,2,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/23/22,B,8,EXO,2,50,,,,,,,
B vs EXO (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Kapera,32,39,27,98,,,,,,,,
Yasuo,35,36,30,101,,,,,,,,
Hyp,35,36,30,101,,,,,,,,
Rise,40,19,25,84,,,,,,,,
Finite,2,2,3,7,,OP Scr,+/-,WTD,TpF,TpA,Event,
Berserk,144,132,115,0,391,341,50,W,8,2,R,
(2-1),2,2,0,4,8,,,,,,,
(1-2),0,0,2,0,2,,,,,,,
Explorers of Time,100,102,139,0,341,391,-50,L,2,8,R,
Maxx,27,43,40,110,,,,,,,,
Solo,37,15,29,81,,,,,,,,
Ethan,15,17,43,75,,,,,,,,
tekken,19,25,26,70,,,,,,,,
Garry,2,2,1,5,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/23/22,MV,8,B,2,54,,,,,,,
MV vs B (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Fernandez,45,25,35,105,1,,,,,,,
yax,38,37,26,101,2,,,,,,,
Az,44,24,30,98,4,,,,,,,
JackCAN,25,35,21,81,6,,,,,,,
64,3,3,2,8,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Megavolt,155,124,114,0,393,339,54,W,8,2,R,
(3-0),2,2,0,4,8,,,,,,,
(2-2),0,0,2,0,2,,,,,,,
Berserk,89,120,130,0,339,393,-54,L,2,8,R,
Yasuo,28,28,45,101,2,,,,,,,
Hyp,22,43,32,97,5,,,,,,,
sukay,20,19,37,76,7,,,,,,,
Rise,18,29,14,61,8,,,,,,,
Finite,1,1,2,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/23/22,Ap,10,EXO,0,48,,,,,,,
Ap vs EXO (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Batcake,54,47,33,134,1,,,,,,,
Thunder,22,29,45,96,3,,,,,,,
Beat,28,24,28,80,4,,,,,,,
Slidair,27,22,24,73,6,,,,,,,
Boodog9,3,3,1,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Apocalypse,134,125,131,0,390,342,48,W,10,0,R,
(3-0),2,2,2,4,10,,,,,,,
(1-3),0,0,0,0,0,,,,,,,
Explorers of Time,110,119,113,0,342,390,-48,L,0,10,R,
Ethan,47,34,32,113,2,,,,,,,
Arti,19,22,37,78,5,,,,,,,
Zane,22,24,27,73,6,,,,,,,
Maxx,21,38,14,73,6,,,,,,,
Kona,1,1,3,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/23/22,LSU,8,LV,2,88,,,,,,,
LSU vs LV (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
sam,49,35,43,127,1,,,,,,,
rerim,46,33,35,114,2,,,,,,,
Trippy,32,25,26,83,4,,,,,,,
brody,16,26,40,82,6,,,,,,,
sully,1,2,1,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Long Shaft University,144,121,145,0,410,322,88,W,8,2,R,
(2-2),2,0,2,4,8,,,,,,,
(0-3),0,2,0,0,2,,,,,,,
Lethal Vengeance,100,123,99,0,322,410,-88,L,2,8,R,
Derek,26,31,28,85,3,,,,,,,
Ivan,22,31,30,83,4,,,,,,,
Stubbz,33,18,25,76,7,,,,,,,
stripe,16,41,13,70,8,,,,,,,
hnery,3,2,3,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/27/22,Ap,8,[L],2,6,,,,,,,
Ap vs [L] (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Batcake,53,46,26,125,1,,,,,,,
Beat,15,45,37,97,4,,,,,,,
MGB,26,28,29,83,5,,,,,,,
Slidair,28,10,19,57,8,,,,,,,
Boodog9,3,2,2,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Apocalypse,125,131,113,0,369,363,6,W,8,2,R,
(4-0),2,2,0,4,8,,,,,,,
(2-3),0,0,2,0,2,,,,,,,
Lightspeed Kitty Cats,119,113,131,0,363,369,-6,L,2,8,R,
macy,31,30,45,106,2,,,,,,,
Kara,32,28,41,101,3,,,,,,,
Justin,25,30,26,81,6,,,,,,,
Jed,30,23,17,70,7,,,,,,,
Maxi,1,2,2,5,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/28/22,B,8,LV,2,18,,,,,,,
B vs LV (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Yasuo,40,44,48,132,1,,,,,,,
sukay,30,33,30,93,4,,,,,,,
Hyp,33,24,30,87,5,,,,,,,
Kapera,22,14,23,59,7,,,,,,,
Finite,2,1,1,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Berserk,127,116,132,0,375,357,18,W,8,2,R,
(3-2),2,0,2,4,8,,,,,,,
(0-4),0,2,0,0,2,,,,,,,
Lethal Vengeance,117,128,112,0,357,375,-18,L,2,8,R,
Derek,39,44,42,125,2,,,,,,,
Ivan,30,34,31,95,3,,,,,,,
Hibberd,26,34,16,76,6,,,,,,,
psycho,20,13,20,53,8,,,,,,,
zach,2,3,3,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/29/22,EXO,8,MV,2,6,,,,,,,
EXO vs MV (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
tekken,37,33,33,103,2,,,,,,,
Ethan,39,35,28,102,3,,,,,,,
Yoshter,26,16,40,82,5,,,,,,,
Zane,29,26,27,82,5,,,,,,,
Garry,0,0,0,0,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Explorers of Time,131,110,128,0,369,363,6,W,8,2,R,
(2-3),2,0,2,4,8,,,,,,,
(3-1),0,2,0,0,2,,,,,,,
Megavolt,113,134,116,0,363,369,-6,L,2,8,R,
Jorge,30,47,54,131,1,,,,,,,
yax,38,32,23,93,4,,,,,,,
Jack,18,31,21,70,7,,,,,,,
Az (6) / Fernandez (6),23,20,14,57,8,,,,,,,
64,4,4,4,12,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/22,Ap,9,MV,1,30,,,,,,,
Ap vs MV (9-1),GP1,GP2,GP3,Total,Place,,,,,,,
Batcake,33,46,41,120,1,,,,,,,
MGB,34,34,28,96,2,,,,,,,
Slidair,29,27,39,95,3,,,,,,,
Beat,40,13,20,73,7,,,,,,,
Boodog9,2,2,3,7,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Apocalypse,138,122,131,-20,371,341,30,W,9,1,R,
(5-0),2,1,2,4,9,,,,,,,
(3-2),0,1,0,0,1,,,,,,,
Megavolt,106,122,113,0,341,371,-30,L,1,9,R,
Az,39,32,23,94,4,,,,,,,
yax,23,36,27,86,5,,,,,,,
Jorge,27,25,29,81,6,,,,,,,
JackCAN,15,27,30,72,8,,,,,,,
64,2,2,4,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/29/22,MV,8,LV,2,78,,,,,,,
MV vs LV (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Jorg,38,42,48,128,1,,,,,,,
Az,39,35,41,115,2,,,,,,,
JackCAN,19,31,39,89,4,,,,,,,
yax,19,38,16,73,6,,,,,,,
64,2,2,1,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Megavolt,117,148,145,-10,400,322,78,W,8,2,R,
(4-2),0,2,2,4,8,,,,,,,
(0-5),2,0,0,0,2,,,,,,,
Lethal Vengeance,127,96,99,0,322,400,-78,L,2,8,R,
Derek,38,20,34,92,3,,,,,,,
Ivan,27,34,14,75,5,,,,,,,
Hibberd,32,21,18,71,7,,,,,,,
Stubbz,28,19,19,66,8,,,,,,,
Zale,2,2,14,18,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/21,HEX,6,LV,4,0,,,,,,,
HEX vs LV (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Kazam,32,21,44,97,3,,,,,,,
Olifre,51,17,25,93,4,,,,,,,
Night,27,25,38,90,5,,,,,,,
Zoan,20,35,26,81,7,,,,,,,
Shaka,2,2,1,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Curse,132,100,134,0,366,366,0,T,6,4,R,
(1-1-2),2,0,2,2,6,,,,,,,
(0-1-5),0,2,0,2,4,,,,,,,
Lethal Vengeance,112,144,110,0,366,366,0,T,4,6,R,
stripe,31,40,34,105,1,,,,,,,
Ivan,25,37,39,101,2,,,,,,,
Stubbz,30,49,10,89,6,,,,,,,
hib,24,16,24,64,8,,,,,,,
Zale,2,2,3,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/5/22,LV,8,[L],2,45,,,,,,,
LV vs [L] (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Ivan,37,26,53,116,1,,,,,,,
Stubbz,34,33,37,104,3,,,,,,,
Derek,29,31,11,71,6,,,,,,,
Hibberd,12,24,32,68,7,,,,,,,
Zale,3,2,6,11,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Lethal Vengeance,115,116,139,0,370,325,45,W,8,2,R,
(1-1-5),2,0,2,4,8,,,,,,,
(2-4),0,2,0,0,2,,,,,,,
Lightspeed Kitty Cats,97,128,105,-5,325,370,-45,L,2,8,R,
macy,26,48,39,113,2,,,,,,,
Christan,17,29,29,75,4,,,,,,,
Kara,28,26,21,75,4,,,,,,,
Iris,25,23,9,57,8,,,,,,,
Maxi,1,2,7,10,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/5/22,B,8,[L],2,95,,,,,,,
B vs [L] (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Yasuo,35,40,52,127,1,,,,,,,
Hyp,28,37,44,109,2,,,,,,,
Kapera,27,22,38,87,3,,,,,,,
Rise,25,29,32,86,4,,,,,,,
Finite,2,3,2,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Berserk,117,131,168,-5,411,316,95,W,8,2,R,
(4-2),0,2,2,4,8,,,,,,,
(2-5),2,0,0,0,2,,,,,,,
Lightspeed Kitty Cats,127,113,76,0,316,411,-95,L,2,8,R,
Solar,34,28,20,82,5,,,,,,,
Justin,23,43,14,80,6,,,,,,,
macy,35,22,18,75,7,,,,,,,
Kara,33,19,22,74,8,,,,,,,
quan,2,1,2,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/5/22,LSU,8,HEX,2,25,,,,,,,
LSU vs HEX (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Rerim,38,34,28,100,3,,,,,,,
sam,48,21,28,97,4,,,,,,,
brody,28,20,40,88,5,,,,,,,
Trippy,28,22,35,85,6,,,,,,,
sully,2,1,3,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Long Shaft University,144,98,134,0,376,351,25,W,8,2,R,
(3-2),2,0,2,4,8,,,,,,,
(1-1-3),0,2,0,0,2,,,,,,,
Curse,100,146,110,-5,351,376,-25,L,2,8,R,
Toto,31,43,27,101,1,,,,,,,
Kazam,25,47,29,101,1,,,,,,,
Night,15,33,29,77,7,,,,,,,
Olifre,27,20,24,71,8,,,,,,,
Shaka,2,3,1,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/5/22,HEX,8,MV,2,39,,,,,,,
HEX vs MV (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Toto,43,19,43,105,2,,,,,,,
Kazam,30,31,38,99,3,,,,,,,
Night,36,26,29,91,4,,,,,,,
Olifre,29,33,22,84,7,,,,,,,
Shaka,1,1,2,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Curse,139,110,134,0,383,344,39,W,8,2,R,
(2-1-3),2,0,2,4,8,,,,,,,
(4-3),0,2,0,0,2,,,,,,,
Megavolt,105,134,110,-5,344,383,-39,L,2,8,R,
Jorge,31,38,39,108,1,,,,,,,
Fernandez,27,45,16,88,5,,,,,,,
yax,19,36,32,87,6,,,,,,,
JackCAN,20,12,21,53,8,,,,,,,
Jaggy,8,3,2,13,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/6/22,LSU,6,Ap,4,14,,,,,,,
LSU vs Ap (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
sam,29,32,52,113,1,,,,,,,
brody,36,33,34,103,3,,,,,,,
Rerim,38,17,33,88,6,,,,,,,
zap,15,20,28,63,7,,,,,,,
sully,3,2,1,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Long Shaft University,121,104,148,0,373,359,14,W,6,4,R,
(3-5),0,0,2,4,6,,,,,,,
(5-1),2,2,0,0,4,,,,,,,
Apocalypse,123,140,96,0,359,373,-14,L,4,6,R,
Thunder,28,45,35,108,2,,,,,,,
Beat,45,32,16,93,4,,,,,,,
Batcake,26,42,21,89,5,,,,,,,
Lexin,23,19,21,63,7,,,,,,,
Boodog9,1,2,3,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/6/22,EXO,6,HEX,4,32,,,,,,,
EXO vs HEX (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Ethan,29,39,32,100,2,,,,,,,
Arti,32,29,37,98,3,,,,,,,
Zane,32,26,37,95,4,,,,,,,
Yoshter,28,23,34,85,6,,,,,,,
Garry,0,2,2,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Explorers of Time,121,119,142,0,382,350,32,W,6,4,R,
(3-3),0,0,2,4,6,,,,,,,
(4-2),2,2,0,0,4,,,,,,,
Curse,123,125,102,0,350,382,-32,L,4,6,R,
Kazam,35,36,31,102,1,,,,,,,
Toto,33,38,21,92,5,,,,,,,
Olifre,27,35,17,79,7,,,,,,,
Night,24,14,31,69,8,,,,,,,
Shaka,4,2,2,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/6/22,LV,8,EXO,2,80,,,,,,,
LV vs EXO (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Ivan,44,44,41,129,1,,,,,,,
Stubbz,35,45,34,114,2,,,,,,,
stripe,19,31,31,81,6,,,,,,,
Derek,21,22,32,75,7,,,,,,,
Zale,2,3,2,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Lethal Vengeance,121,145,140,0,406,326,80,W,8,2,R,
(2-1-5),0,2,2,4,8,,,,,,,
(3-4),2,0,0,0,2,,,,,,,
Explorers of Time,123,99,104,0,326,406,-80,L,2,8,R,
Zane,30,24,34,88,3,,,,,,,
Arti,27,33,23,83,4,,,,,,,
Yoshter,38,15,29,82,5,,,,,,,
Maxx,26,26,16,68,8,,,,,,,
Kona,2,1,2,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/8/22,HEX,8,[L],2,32,,,,,,,
HEX vs [L] (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Olifre,39,36,36,111,1,,,,,,,
Zoan,26,29,43,98,3,,,,,,,
Kazam,40,23,25,88,5,,,,,,,
Toto,29,28,23,80,6,,,,,,,
Shaka,3,2,0,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Curse,137,118,127,0,382,350,32,W,8,2,R,
(3-1-4),2,0,2,4,8,,,,,,,
(3-6),0,2,0,0,2,,,,,,,
Lightspeed Kitty Cats,107,126,117,0,350,382,-32,L,2,8,R,
caard,36,37,36,109,2,,,,,,,
macy,32,46,16,94,4,,,,,,,
Maxi,26,24,29,79,7,,,,,,,
Christan,12,17,32,61,8,,,,,,,
quan,1,2,4,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/11/22,B,8,HEX,2,16,,,,,,,
B vs HEX (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Yasuo,38,49,43,130,1,,,,,,,
Kapera,30,33,34,97,3,,,,,,,
Rise,34,20,25,79,7,,,,,,,
Hyp,14,23,22,59,8,,,,,,,
Finite,3,2,4,9,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Berserk,119,127,128,0,374,358,16,W,8,2,R,
(5-2),0,2,2,4,8,,,,,,,
(3-1-5),2,0,0,0,2,,,,,,,
Curse,125,117,116,0,358,374,-16,L,2,8,R,
Zoan,29,25,51,105,2,,,,,,,
Olifre,36,29,21,86,4,,,,,,,
Toto,23,38,22,83,5,,,,,,,
Kazam,36,23,22,81,6,,,,,,,
Shaka,1,2,0,3,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/12/22,MV,8,[L],2,102,,,,,,,
MV vs [L] (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
64,27,35,48,110,1,,,,,,,
Az,32,44,30,106,2,,,,,,,
Jorge (8) / JackCAN (4),41,29,25,95,4,,,,,,,
yax,40,25,17,82,5,,,,,,,
sebas,1,2,1,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Megavolt,141,135,121,0,397,295,102,W,8,2,R,
(5-3),2,2,0,4,8,,,,,,,
(3-7),0,0,2,0,2,,,,,,,
Lightspeed Kitty Cats,71,101,123,0,295,397,-102,L,2,8,R,
Christan,29,42,32,103,3,,,,,,,
macy,12,24,46,82,5,,,,,,,
Maxi,14,16,30,60,7,,,,,,,
Iris,13,17,12,42,8,,,,,,,
quan,3,2,3,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/12/22,EXO,8,LSU,2,24,,,,,,,
EXO vs LSU ,GP1,GP2,GP3,Total,Place,,,,,,,
Zane,37,23,37,97,2,,,,,,,
Maxx,36,37,23,96,3,,,,,,,
Ethan,24,35,36,95,4,,,,,,,
Arti,38,21,24,83,6,,,,,,,
Garry,1,3,3,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Explorers of Time,136,119,123,0,378,354,24,W,8,2,R,
(4-4),2,0,2,4,8,,,,,,,
(3-3),0,2,0,0,2,,,,,,,
