Teams,Abv,P,W,T,L,F,A,Dif,Pts,,,
Fizzy,36,24,33,93,5,,,,,,,
fordj,18,36,32,86,6,,,,,,,
Dino!,2,2,1,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Hell's Kitchen,125,145,123,0,393,339,54,W,10,0,R,
(2-0),2,2,2,4,10,,,,,,,
(0-2),0,0,0,0,0,,,,,,,
Euler's Identity,119,99,121,0,339,393,-54,L,0,10,R,
Tectrox,33,34,46,113,1,,,,,,,
Sardine,37,28,29,94,4,,,,,,,
Spock,34,19,18,71,7,,,,,,,
PandaMan,13,16,25,54,8,,,,,,,
zs,2,2,3,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/18/2022,HK,7,Bt,3,24,,,,,,,
HK v. Bt (7-3),GP1,GP2,GP3,Total,Place,,,,,,,
Fizzy,41,33,35,109,1,,,,,,,
Ghost,24,34,38,96,4,,,,,,,
Rock Dude,36,18,38,92,5,,,,,,,
Snoopy,21,25,31,77,7,,,,,,,
Dino!,0,2,2,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Hell's Kitchen,122,112,144,0,378,354,24,W,7,3,R,
(3-0),1,0,2,4,7,,,,,,,
(2-1),1,2,0,0,3,,,,,,,
Brophy's Theory,122,132,100,0,354,378,-24,L,3,7,R,
Hedwig,26,43,35,104,2,,,,,,,
Sassak,44,33,21,98,3,,,,,,,
Claus,26,32,22,80,6,,,,,,,
Bickbork,22,22,20,64,8,,,,,,,
Schultz,4,2,2,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/21/2022,XII,10,Le,0,66,,,,,,,
XII v. Le (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
byron,32,39,41,112,1,,,,,,,
Istior,38,37,32,107,2,,,,,,,
Leeroy,26,28,34,88,5,,,,,,,
Ouloul(4)/Master67x(8),4,27,29,60,8,,,,,,,
AstroBoyZ,29,2,1,32,9,OP Scr,+/-,WTD,TpF,TpA,Event,
The Twelve,129,133,137,0,399,333,66,W,10,0,R,
(2-0),2,2,2,4,10,,,,,,,
(0-2),0,0,0,0,0,,,,,,,
Luminescence,115,111,107,0,333,399,-66,L,0,10,R,
USK,41,38,14,93,3,,,,,,,
Evasive,23,41,26,90,4,,,,,,,
Mike,25,16,36,77,6,,,,,,,
SpiritX,26,14,25,65,7,,,,,,,
Deakon,0,2,6,8,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/21/2022,beyond,10,HK,0,72,,,,,,,
Ceres v. HK (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Nyro,43,42,36,121,1,,,,,,,
KONGSTRONG,30,35,47,112,2,,,,,,,
Swag,34,22,29,85,4,,,,,,,
LucaMK,23,34,18,75,6,,,,,,,
Marik,2,3,3,8,9,OP Scr,+/-,WTD,TpF,TpA,Event,
beyond the universe,132,136,133,0,401,329,72,W,10,0,R,
(2-1),2,2,2,4,10,,,,,,,
(3-1),0,0,0,0,0,,,,,,,
Hell's Kitchen,112,106,111,0,329,401,-72,L,0,10,R,
Fizzy,41,27,34,102,3,,,,,,,
Rock Dude,20,31,34,85,4,,,,,,,
Snoopy,23,21,31,75,6,,,,,,,
fordj,26,26,11,63,8,,,,,,,
Dino!,2,1,1,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/22/2022,Le,10,Cy3,0,136,,,,,,,
Le v. Cy3 (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Mike,48,54,42,144,1,,,,,,,
USK,40,42,44,126,2,,,,,,,
Evasive,35,13,31,79,4,,,,,,,
Nubbly,30,30,18,78,5,,,,,,,
landon,2,2,3,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Luminescence,155,141,138,0,434,298,136,W,10,0,R,
(1-2),2,2,2,4,10,,,,,,,
(0-3),0,0,0,0,0,,,,,,,
Contingency Orange,89,103,106,0,298,434,-136,L,0,10,R,
kitty,21,35,44,100,3,,,,,,,
Rastaman,28,21,19,68,6,,,,,,,
sugar,21,28,15,64,7,,,,,,,
Arvin,17,17,27,61,8,,,,,,,
Striker,2,2,1,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/22/2022,Le,8,e^ip,2,27,,,,,,,
Le v. e^ip (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
SpiritX,40,41,32,113,1,,,,,,,
Mike,23,34,40,97,3,,,,,,,
Nubbly,45,22,27,94,4,,,,,,,
Evasive,13,34,28,75,7,,,,,,,
landon,0,1,2,3,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Luminescence,121,132,129,-5,377,350,27,W,8,2,R,
(2-2),0,2,2,4,8,,,,,,,
(0-3),2,0,0,0,2,,,,,,,
Euler's Identity,123,112,115,0,350,377,-27,L,2,8,R,
MichaelH,41,38,31,110,2,,,,,,,
Tectrox,24,31,29,84,5,,,,,,,
Spock,29,20,28,77,6,,,,,,,
Sardine,25,20,25,70,8,,,,,,,
PandaMan,4,3,2,9,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/22/2022,Cy3,9,beyond,1,66,,,,,,,
Cy3 v. Ceres (9-1),GP1,GP2,GP3,Total,Place,,,,,,,
Kit,52,42,38,132,,,,,,,,
Sugar,31,32,27,90,,,,,,,,
Rastaman,35,23,28,86,,,,,,,,
Arvin,27,28,17,72,,,,,,,,
Striker,3,4,2,9,,OP Scr,+/-,WTD,TpF,TpA,Event,
Contingency Orange,148,129,112,0,389,323,66,W,9,1,R,
(1-3),2,2,1,4,9,,,,,,,
(2-2),0,0,1,0,1,,,,,,,
beyond the universe,96,115,132,-20,323,389,-66,L,1,9,R,
Watcha,27,26,46,99,,,,,,,,
Luca,30,34,23,87,,,,,,,,
Nyro,22,25,33,80,,,,,,,,
Swag,16,30,28,74,,,,,,,,
Marik,1,0,2,3,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/29/2022,e^ip,10,Cy3,0,94,,,,,,,
e^ip v. Cy3 (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Tectrox,35,36,48,119,1,,,,,,,
Sardine,45,41,26,112,2,,,,,,,
Dawn,36,37,24,97,4,,,,,,,
MichaelH,29,15,26,70,8,,,,,,,
NateRNH,4,4,2,10,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Euler's Identity,149,133,126,0,408,314,94,W,10,0,R,
(1-3),2,2,2,4,10,,,,,,,
(1-4),0,0,0,0,0,,,,,,,
Contingency Orange,95,111,108,0,314,408,-94,L,0,10,R,
LeonNL,38,34,29,101,3,,,,,,,
Ket,24,26,26,76,5,,,,,,,
Arvin,15,28,30,73,6,,,,,,,
sugar,18,23,21,62,7,,,,,,,
Striker,0,0,2,2,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/27/2022,Bt,10,e^ip,0,111,,,,,,,
Bt v. e^ip (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Claus,22,47,40,109,1,,,,,,,
Hedwig,33,27,48,108,2,,,,,,,
Sassak,32,28,38,98,3,,,,,,,
bawpAUS,44,18,35,97,4,,,,,,,
Schultz,2,0,0,2,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Brophy's Theory,133,120,161,-5,409,298,111,W,10,0,R,
(3-1),2,2,2,4,10,,,,,,,
(1-4),0,0,0,0,0,,,,,,,
Euler's Identity,111,104,83,0,298,409,-111,L,0,10,R,
Sardine,29,34,12,75,5,,,,,,,
Ayaka,22,24,24,70,6,,,,,,,
MichaelH,32,21,15,68,7,,,,,,,
NateRNH,26,10,12,48,8,,,,,,,
Spock,2,15,20,37,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/2022,Le,10,HK,0,134,,,,,,,
Le v. HK (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Deakon,38,38,44,120,1,,,,,,,
Nubbly,39,36,33,108,2,,,,,,,
Mike,30,35,38,103,3,,,,,,,
USK,20,49,28,97,4,,,,,,,
landon,0,2,3,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Luminescence,127,160,146,0,433,299,134,W,10,0,R,
(3-2),2,2,2,4,10,,,,,,,
(3-2),0,0,0,0,0,,,,,,,
Hell's Kitchen,117,84,98,0,299,433,-134,L,0,10,R,
Fizzy,36,25,24,85,5,,,,,,,
Rock Dude,34,22,28,84,6,,,,,,,
Rhino,31,25,19,75,7,,,,,,,
fordj(8)/Snoopy(4),12,10,26,48,8,,,,,,,
Dino!,4,2,1,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/2022,Le,9,beyond,1,28,,,,,,,
Le v. Ceres (9-1),GP1,GP2,GP3,Total,Place,,,,,,,
Mike,34,42,35,111,1,,,,,,,
Deakon,37,29,29,95,4,,,,,,,
Nubbly,23,30,39,92,5,,,,,,,
USK,37,25,16,78,6,,,,,,,
landon,1,0,3,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Luminescence,132,126,122,0,380,352,28,W,9,1,R,
(4-2),2,2,1,4,9,,,,,,,
(2-3),0,0,1,0,1,,,,,,,
beyond the universe,112,118,122,0,352,380,-28,L,1,9,R,
Watcha,26,42,38,106,2,,,,,,,
KONGSTRONG,35,30,35,100,3,,,,,,,
Chrismo,33,9,28,70,7,,,,,,,
Nyro,15,33,20,68,8,,,,,,,
Marik,3,4,1,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/2022,HK,6,XII,4,34,,,,,,,
HK v. XII (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Fizzy,39,44,33,116,1,,,,,,,
Snoopy,42,24,40,106,4,,,,,,,
Rock Dude,12,28,38,78,5,,,,,,,
Blue Up,20,23,33,76,6,,,,,,,
Dino!,2,2,3,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Hell's Kitchen,115,121,147,0,383,349,34,W,6,4,R,
(4-2),0,0,2,4,6,,,,,,,
(2-1),2,2,0,0,4,,,,,,,
The Twelve,129,123,97,0,349,383,-34,L,4,6,R,
byron,40,48,24,112,2,,,,,,,
Istior,49,30,28,107,3,,,,,,,
ManuelUS,18,27,24,69,7,,,,,,,
Leeroy,20,16,20,56,8,,,,,,,
AstroboyZ,2,2,1,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/2022,e^ip,8,XII,2,30,,,,,,,
e^ip v. XII (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Tectrox,47,32,38,117,2,,,,,,,
MichaelH,21,43,30,94,3,,,,,,,
Sardine,28,27,26,81,5,,,,,,,
Spock,21,30,21,72,7,,,,,,,
NateRNH(4)/smu(8),3,1,3,7,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Euler's Identity,120,133,118,0,371,341,30,W,8,2,R,
(2-4),0,2,2,4,8,,,,,,,
(2-2),2,0,0,0,2,,,,,,,
The Twelve,124,111,126,-20,341,371,-30,L,2,8,R,
ManuelUS,38,40,46,124,1,,,,,,,
Istior,50,14,26,90,4,,,,,,,
byron,13,34,33,80,6,,,,,,,
Leeroy,22,20,15,57,8,,,,,,,
AstroboyZ,1,3,6,10,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/31/2022,Au,6,Bt,4,7,,,,,,,
Au v. Bt (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Torment,45,33,20,98,2,,,,,,,
Vinny,34,21,35,90,3,,,,,,,
Vantoxify,32,35,19,86,5,,,,,,,
GabrielUS,21,23,41,85,6,,,,,,,
BodaciousKarter,3,2,3,8,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Auspicion,135,114,118,0,367,360,7,W,6,4,R,
(2-1),2,0,0,4,6,,,,,,,
(3-2),0,2,2,0,4,,,,,,,
Brophy's Theory,109,130,126,-5,360,367,-7,L,4,6,R,
Hedwig,40,32,36,108,1,,,,,,,
Claus,31,17,41,89,4,,,,,,,
Sassak,16,45,24,85,6,,,,,,,
bawpAUS,21,34,24,79,8,,,,,,,
Schultz,1,2,1,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/04/2022,HK,8,e^ip,2,123,,,,,,,
HK v. e^ip (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Fizzy,38,39,47,124,1,,,,,,,
Snoopy,38,35,49,122,2,,,,,,,
Ghost,13,39,37,89,4,,,,,,,
Blue Up,26,32,25,83,5,,,,,,,
Dry Dry Ruins,2,3,2,7,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Hell's Kitchen,117,148,160,0,425,302,123,W,8,2,R,
(5-2),0,2,2,4,8,,,,,,,
(3-4),2,0,0,0,2,,,,,,,
Euler's Identity,127,96,84,-5,302,425,-123,L,2,8,R,
Sardine,46,41,19,106,3,,,,,,,
Spock,20,25,22,67,6,,,,,,,
PandaMan(4)/Tectrox(8),35,13,15,63,7,,,,,,,
MichaelH,24,16,21,61,8,,,,,,,
NateRNH,2,1,7,10,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/05/2022,Au,8,HK,2,20,,,,,,,
Au v. HK (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Vantoxify,39,27,28,94,3,,,,,,,
MatthewAUS,26,29,35,90,4,,,,,,,
FrankDaSpeed,27,36,26,89,5,,,,,,,
Goomba,40,19,28,87,6,,,,,,,
Torment,2,4,0,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Auspicion,134,115,117,0,366,346,20,W,8,2,R,
(2-2),2,2,0,4,8,,,,,,,
(6-2),0,0,2,0,2,,,,,,,
Hell's Kitchen,110,129,127,-20,346,366,-20,L,2,8,R,
Ghost,29,35,47,111,1,,,,,,,
Fizzy,27,29,39,95,2,,,,,,,
Snoopy,34,40,13,87,6,,,,,,,
Blue Up,18,25,24,67,8,,,,,,,
Dry Dry Ruins,2,0,4,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/05/2022,Le,8,Bt,2,86,,,,,,,
Le v. Bt (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
crack,49,45,30,124,1,,,,,,,
nubbles,31,45,35,111,2,,,,,,,
USK,25,34,29,88,4,,,,,,,
Mr Gilbert,27,32,13,72,7,,,,,,,
landon,1,3,2,6,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Luminescence,133,159,109,0,401,315,86,W,8,2,R,
(X-X),2,2,0,4,8,,,,,,,
(X-X),0,0,2,0,2,,,,,,,
Brophy's Theory,95,85,135,0,315,401,-86,L,2,8,R,
Claus,39,24,27,90,3,,,,,,,
Sassak,16,22,41,79,5,,,,,,,
Hedwig,20,26,32,78,6,,,,,,,
Bickbork,15,12,33,60,8,,,,,,,
Schultz,5,1,2,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/5/22,XII,8,Au,2,26,,,,,,,
XII vs Au (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
byron,26,39,39,104,1,,,,,,,
Istior,44,37,21,102,2,,,,,,,
Balou,33,21,37,91,4,,,,,,,
Astro,3,17,19,39,8,,,,,,,
Ouloul,12,4,2,18,9,OP Scr,+/-,WTD,TpF,TpA,Event,
The Twelve,118,118,118,0,354,328,26,W,8,2,R,
(2-2),2,2,0,4,8,,,,,,,
(2-2),0,0,2,0,2,,,,,,,
Auspicion,96,126,126,-20,328,354,-26,L,2,8,R,
Goomba,21,38,33,92,3,,,,,,,
Vantoxify,32,26,30,88,5,,,,,,,
Marco,23,29,34,86,6,,,,,,,
FrankDaSpeed,15,33,27,75,7,,,,,,,
GabrielUS,5,0,2,7,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/5/22,beyond,10,Bt,0,38,,,,,,,
Ceres vs Bt (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Nyro,24,40,41,105,2,,,,,,,
LucaMK,47,26,21,94,3,,,,,,,
KONGSTRONG,31,30,30,91,6,,,,,,,
Swag,26,25,35,86,7,,,,,,,
Marik,3,3,3,9,9,OP Scr,+/-,WTD,TpF,TpA,Event,
beyond the universe,131,124,130,0,385,347,38,W,10,0,R,
(3-3),2,2,2,4,10,,,,,,,
(3-4),0,0,0,0,0,,,,,,,
Brophy's Theory,113,120,114,0,347,385,-38,L,0,10,R,
Hedwig,20,37,50,107,1,,,,,,,
Claus,35,31,28,94,3,,,,,,,
Sassak,37,40,15,92,5,,,,,,,
Bickbork,20,11,20,51,8,,,,,,,
Schultz,1,1,1,3,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/6/22,XII,10,Cy,0,125,,,,,,,
XII vs C7 (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Istior,47,43,37,127,1,,,,,,,
byron,45,39,37,121,2,,,,,,,
Master67x,42,27,12,81,4,,,,,,,
Astro,24,21,19,64,6,,,,,,,
Ouloul,2,2,1,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
The Twelve,160,132,106,0,398,273,125,W,10,0,R,
(4-2),2,2,2,4,10,,,,,,,
(1-4),0,0,0,0,0,,,,,,,
Contingency Orange,84,112,77,0,273,398,-125,L,0,10,R,
Rastaman,34,28,20,82,3,,,,,,,
sugar,15,39,22,76,5,,,,,,,
kitty (4) / Loen (7),21,11,26,58,7,,,,,,,
Loid Forger,12,32,7,51,8,,,,,,,
Mushroom Peaks,2,2,2,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/6/22,beyond,10,e^ip,0,64,,,,,,,
Ceres vs e^ip (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Nyro,38,43,37,118,1,,,,,,,
KONGSTRONG,28,36,51,115,2,,,,,,,
Realiix,33,22,23,78,6,,,,,,,
Swag,21,16,30,67,8,,,,,,,
Marik,3,3,4,10,9,OP Scr,+/-,WTD,TpF,TpA,Event,
beyond the universe,123,120,145,0,388,324,64,W,10,0,R,
(4-3),2,2,2,4,10,,,,,,,
(2-5),0,0,0,0,0,,,,,,,
Euler's Identity,121,124,99,-20,324,388,-64,L,0,10,R,
Tectrox,29,43,33,105,3,,,,,,,
MichaelH,31,35,20,86,4,,,,,,,
Spock,37,27,19,83,5,,,,,,,
NateRNH,23,18,27,68,7,,,,,,,
zs,1,1,0,2,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/6/22,Bt,8,XII,2,12,,,,,,,
Bt vs XII (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Claus,37,30,43,110,2,,,,,,,
Sassak,25,38,33,96,4,,,,,,,
Hedwig,42,30,19,91,5,,,,,,,
Bickbork,25,15,30,70,7,,,,,,,
Schultz,2,2,1,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Brophy's Theory,131,115,126,0,372,360,12,W,8,2,R,
(4-4),2,0,2,4,8,,,,,,,
(4-3),0,2,0,0,2,,,,,,,
The Twelve,113,129,118,0,360,372,-12,L,2,8,R,
byron,33,44,36,113,1,,,,,,,
Istior,24,43,41,108,3,,,,,,,
Balou,22,26,26,74,6,,,,,,,
Leeroy,32,14,12,58,8,,,,,,,
Ouloul,2,2,3,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/6/22,Au,8,Le,2,58,,,,,,,
Au vs Le (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
GabrielUS,31,40,48,119,1,,,,,,,
