Teams,Abv,Pts,40,40,,,Matches,,,,,
Se vs Ap (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Shawn,38,46,54,138,1,,,,,,,
KasperUS,45,21,31,97,3,,,,,,,
Edison,27,35,34,96,4,,,,,,,
Revise,31,26,32,89,5,,,,,,,
Maq,1,3,2,6,10,,,,,,,
Superbia,142,131,153,-5,421,,,,,,,
(7-3),2,2,2,4,10,,,,,,,
(2-6),0,0,0,0,0,,,,,,,
Apocalypse Emerald,102,113,91,0,306,,,,,,,
Thunder,32,40,27,99,2,,,,,,,
Batcake,34,20,34,88,6,,,,,,,
Torp,19,27,11,57,7,,,,,,,
Chillz,14,25,12,51,8,,,,,,,
Kaizo,3,1,7,11,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
1/9/22,Ap,10,D,0,119,,,,,,,
Ap v D (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
swig,43,48,60,151,1,,,,,,,
Thunder,43,34,25,102,2,,,,,,,
Torp,26,32,42,100,3,,,,,,,
Camelot,23,24,17,64,7,,,,,,,
Kaizo,1,2,3,6,9,,,,,,,
Apocalypse Emerald,136,140,147,0,423,,,,,,,
(3-7),2,2,2,4,10,,,,,,,
(2-8),0,0,0,0,0,,,,,,,
Daisy Squad,108,104,97,-5,304,,,,,,,
Kazam,30,37,30,97,4,,,,,,,
Kiwi,18,36,20,74,5,,,,,,,
avocado,22,13,33,68,6,,,,,,,
EmilP,35,16,13,64,7,,,,,,,
Merc,3,2,1,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
1/9/22,[L],8,Jx,2,6,,,,,,,
[L] vs Jx (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
brody,42,27,36,105,,,,,,,,
Matt,25,24,49,98,,,,,,,,
maisie,37,32,16,85,,,,,,,,
Zestos,29,21,27,77,,,,,,,,
Evan,2,1,1,4,,,,,,,,
Lightspeed Kitty Cats,135,105,129,0,369,,,,,,,
(3-7),2,0,2,4,8,,,,,,,
(7-1),0,2,0,0,2,,,,,,,
Jx.,109,139,115,0,363,,,,,,,
Jeff,33,28,41,102,,,,,,,,
mura,35,28,29,92,,,,,,,,
frozen,18,44,27,89,,,,,,,,
mike,21,36,15,72,,,,,,,,
Sam,2,3,3,8,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
1/15/22,D,10,H,0,130,,,,,,,
D vs H (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
LukeGB,34,55,43,132,1,,,,,,,
avocado,41,38,32,111,2,,,,,,,
EmilP,32,32,37,101,3,,,,,,,
Sammeh,29,13,36,78,6,,,,,,,
Shaka,2,3,4,9,9,,,,,,,
Daisy Squad,138,141,152,0,431,,,,,,,
(3-7),2,2,2,4,10,,,,,,,
(5-4),0,0,0,0,0,,,,,,,
HEAVEN,106,103,92,0,301,,,,,,,
Hizumi,35,23,35,93,4,,,,,,,
Jan,30,26,25,81,5,,,,,,,
Prin,19,31,16,66,7,,,,,,,
yoshikz,20,22,16,58,8,,,,,,,
Naomi Osaka,2,1,0,3,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
1/15/22,airy,8,Jx,2,5,,,,,,,
airy vs Jx (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Xander,31,48,32,111,,,,,,,,
Kasperinos,34,29,37,100,,,,,,,,
jack,40,23,26,89,,,,,,,,
Quinn,20,32,10,62,,,,,,,,
Jazz,2,4,3,9,,,,,,,,
airy,127,136,108,-25,346,,,,,,,
(7-2),2,2,0,4,8,,,,,,,
(7-2),0,0,2,0,2,,,,,,,
Jx.,117,108,136,-20,341,,,,,,,
mura,36,28,32,96,,,,,,,,
michael gee,30,22,39,91,,,,,,,,
Jeff,31,28,28,87,,,,,,,,
frozen,18,30,36,84,,,,,,,,
Sam,2,0,1,3,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
1/15/22,airy,6,Av,4,6,,,,,,,
airy vs Av (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
ruby,50,28,34,112,2,,,,,,,
Xander,30,41,30,101,3,,,,,,,
Luke,27,32,23,82,5,,,,,,,
Jack,29,14,18,61,8,,,,,,,
Boodog,3,1,4,8,9,,,,,,,
airy,139,116,109,0,364,,,,,,,
(8-2),2,0,0,4,6,,,,,,,
(3-7),0,2,2,0,4,,,,,,,
Avail,105,128,135,-10,358,,,,,,,
Kevin,39,35,48,122,1,,,,,,,
Cheron,14,40,35,89,4,,,,,,,
Olifre,25,30,22,77,6,,,,,,,
Lucid,26,20,30,76,7,,,,,,,
Joris,1,3,0,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
1/15/22,H,10,Jx,0,3,,,,,,,
H vs Jx. (Free WIn) ,GP1,GP2,GP3,Total,Place,,,,,,,
,1,1,1,3,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,1,1,1,0,3,,,,,,,
(),2,2,2,4,10,,,,,,,
(),0,0,0,0,0,,,,,,,
,0,0,0,0,0,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
