Teams,Abv,P,W,T,L,F,A,Dif,Pts,,,
(4-4),2,1,2,4,9,,,,,,,
(2-7),0,1,0,0,1,,,,,,,
Rise,106,122,110,0,338,394,-56,L,1,9,R,
zyr,39,48,32,119,1,,,,,,,
Alberto,37,31,36,104,3,,,,,,,
JJ,16,21,28,65,7,,,,,,,
2D,11,20,12,43,8,,,,,,,
bodge,3,2,2,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/20/22,Be,10,Hz,0,90,,,,,,,
Be vs Hz (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Marron,40,33,52,125,1,,,,,,,
ru2,34,40,39,113,3,,,,,,,
TaTsuya,32,36,25,93,4,,,,,,,
Sinon,22,19,37,78,5,,,,,,,
LockK,1,0,1,2,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Berserk II,129,128,154,0,411,321,90,W,10,0,R,
(4-3),2,2,2,4,10,,,,,,,
(2-7),0,0,0,0,0,,,,,,,
Tunes Horizon,115,116,90,0,321,411,-90,L,0,10,R,
Jonny,38,47,30,115,2,,,,,,,
co,23,23,26,72,6,,,,,,,
margio,28,19,20,67,7,,,,,,,
Azuki,23,23,11,57,8,,,,,,,
KA,3,4,3,10,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/20/22,Be,9,V$,1,60,,,,,,,
Be vs V$ (9-1),GP1,GP2,GP3,Total,Place,,,,,,,
ru2,43,45,35,123,1,,,,,,,
Sinon,43,39,28,110,2,,,,,,,
Marron,44,13,23,80,5,,,,,,,
TaTsuya,18,24,29,71,7,,,,,,,
LockK,1,1,6,8,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Berserk II,149,122,121,0,392,332,60,W,9,1,R,
(5-3),2,1,2,4,9,,,,,,,
(4-5),0,1,0,0,1,,,,,,,
Versatile,95,122,115,0,332,392,-60,L,1,9,R,
Bowser Castle 3,36,37,26,99,3,,,,,,,
Spart,23,23,37,83,4,,,,,,,
Zoot McSchmoove,20,35,18,73,6,,,,,,,
Josue,13,24,30,67,8,,,,,,,
New World Order,3,3,4,10,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/20/22,Be,7,Fts,3,6,,,,,,,
Be vs Fts (7-3),GP1,GP2,GP3,Total,Place,,,,,,,
FioNa,32,44,43,119,1,,,,,,,
Sinon,26,41,28,95,3,,,,,,,
TaTsuya,38,20,32,90,4,,,,,,,
ru2,26,26,12,64,7,,,,,,,
Marron,0,0,1,1,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Berserk II,122,131,116,0,369,363,6,W,7,3,R,
(6-3),1,2,0,4,7,,,,,,,
(5-2),1,0,2,0,3,,,,,,,
Faithless,122,113,128,0,363,369,-6,L,3,7,R,
Lewis,38,26,40,104,2,,,,,,,
Toddy,33,20,31,84,5,,,,,,,
Sky9,29,33,20,82,6,,,,,,,
BigRaz,10,22,22,54,8,,,,,,,
Elbling,12,12,15,39,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/20/22,Be,10,V$,0,117,,,,,,,
Be vs V$ (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Sinon,30,45,38,113,1,,,,,,,
ru2,41,39,24,104,3,,,,,,,
Marron,28,38,35,101,4,,,,,,,
TaTsuya,33,28,37,98,5,,,,,,,
Kanade,2,2,2,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Berserk II,134,152,136,0,422,305,117,W,10,0,R,
(7-3),2,2,2,4,10,,,,,,,
(4-6),0,0,0,0,0,,,,,,,
Versatile,110,92,108,-5,305,422,-117,L,0,10,R,
Bowser Castile 3,38,30,41,109,2,,,,,,,
Josue,34,14,22,70,6,,,,,,,
Spart,21,20,25,66,7,,,,,,,
I Hate It Here,15,26,18,59,8,,,,,,,
New World Oder,2,2,2,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/20/22,Ez,8,Fts,2,4,,,,,,,
Ez vs Fts (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Hintz,33,38,40,111,1,,,,,,,
May,25,27,41,93,2,,,,,,,
Soony,54,21,13,88,3,,,,,,,
Cow Jah,15,48,12,75,7,,,,,,,
NathanUK,0,1,0,1,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Ez,127,135,106,0,368,364,4,W,8,2,R,
(6-3),2,2,0,4,8,,,,,,,
(5-3),0,0,2,0,2,,,,,,,
Faithless,117,109,138,0,364,368,-4,L,2,8,R,
Lewis,27,26,34,87,4,,,,,,,
Theodor,27,24,28,79,5,,,,,,,
Jake,22,13,41,76,6,,,,,,,
Mystic Mine,19,34,21,74,8,,,,,,,
Toddy,22,12,14,48,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/21/22,Cy,8,Hz,2,78,,,,,,,
Cy vs Hz (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Alpha,40,35,28,103,2,,,,,,,
Wob,12,40,46,98,3,,,,,,,
Joel Embiid,27,27,33,87,4,,,,,,,
Missing Player,12,12,12,36,8,,,,,,,
Issac,0,1,4,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Contingency Black,91,115,123,0,329,251,78,W,8,2,R,
(4-4),0,2,2,4,8,,,,,,,
(2-8),2,0,0,0,2,,,,,,,
Tunes Horizon,121,108,102,-80,251,329,-78,L,2,8,R,
KA,38,51,44,133,1,,,,,,,
Azuki,24,15,22,61,5,,,,,,,
Flandre,37,8,8,53,6,,,,,,,
Jonny,18,16,15,49,7,,,,,,,
co ,4,18,13,35,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/27/22,Fts,8,RISE,2,40,,,,,,,
Fts vs RISE (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Jake,32,46,31,109,1,,,,,,,
Theodor,28,29,25,82,4,,,,,,,
Toddy,21,20,35,76,6,,,,,,,
Lewis,7,34,20,61,8,,,,,,,
Sky9,15,19,24,58,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Faithless,103,148,135,0,386,346,40,W,8,2,R,
(6-3),0,2,2,4,8,,,,,,,
(2-8),2,0,0,0,2,,,,,,,
Rise,141,96,109,0,346,386,-40,L,2,8,R,
Nxvy,55,30,16,101,2,,,,,,,
2D,14,27,42,83,3,,,,,,,
zyr,34,16,30,80,5,,,,,,,
Wattson,25,20,18,63,7,,,,,,,
bodge,13,3,3,19,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/27/22,Ez,10,Cy,0,F,,,,,,,
Ez vs Cy (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,OP Scr,+/-,WTD,TpF,TpA,Event,
Ez,100,100,100,300,300,0,300,W,10,0,R,
(7-3),2,2,2,4,10,,,,,,,
(X-X),0,0,0,0,0,,,,,,,
Contingency Black,0,0,0,0,0,300,-300,L,0,10,R,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/27/2022,Fts,10,Cy,0,102,,,,,,,
Fts v. Cy (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Jake,27,47,20,94,1,,,,,,,
Theodor,35,20,32,87,2,,,,,,,
Lewis,18,27,28,73,4,,,,,,,
Toddy,34,27,0,61,7,,,,,,,
Mystic Mine,3,11,40,54,8,OP Scr,+/-,WTD,TpF,TpA,Event,
Faithless,117,132,120,0,369,267,102,W,10,0,R,
(7-3),2,2,2,4,10,,,,,,,
(3-6),0,0,0,0,0,,,,,,,
Contingency Black,95,80,92,0,267,369,-102,L,0,10,R,
Joel Embiid,22,29,33,84,3,,,,,,,
Wob,22,27,20,69,5,,,,,,,
Alpha,38,8,21,67,6,,,,,,,
Missing Player,12,12,12,36,9,,,,,,,
Isaac,1,4,6,11,10,,,,,,,
