Teams,Abv,P,W,T,L,F,A,Dif,Pts,,,
Faithless,140,146,103,0,389,343,46,W,8,2,R,
(2-0),2,2,0,4,8,,,,,,,
(2-1),0,0,2,0,2,,,,,,,
Versatile,104,98,141,0,343,389,-46,L,2,8,R,
LilyUK,25,29,39,93,1,,,,,,,
smug,23,35,20,78,5,,,,,,,
Cookie,28,13,35,76,6,,,,,,,
Spart,28,21,25,74,7,,,,,,,
Wal00gi,0,0,22,22,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/16/2022,V$,8,RISE,2,18,,,,,,,
V$ v. RISE (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Spart,45,27,41,113,2,,,,,,,
Cookie,31,41,32,104,3,,,,,,,
Rick,28,15,34,77,6,,,,,,,
Jesus,14,30,23,67,7,,,,,,,
Wal00gi,2,1,1,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Versatile,120,114,131,0,365,347,18,W,8,2,R,
(1-1),0,2,2,4,8,,,,,,,
(0-2),2,0,0,0,2,,,,,,,
Rise,124,110,113,-20,347,365,-18,L,2,8,R,
Alberto,41,41,35,117,1,,,,,,,
Nxvy,45,33,17,95,4,,,,,,,
Snowy,22,28,30,80,5,,,,,,,
Twingy,14,25,28,67,7,,,,,,,
xVOLTTHEPROGODx,2,3,3,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/21/2022,Fts,7,Hz,3,6,,,,,,,
Fts v. Hz (7-3),GP1,GP2,GP3,Total,Place,,,,,,,
Lewis,26,37,32,95,3,,,,,,,
Theodor,32,39,23,94,4,,,,,,,
Mystic Mine,28,15,26,69,6,,,,,,,
Joshh,15,23,19,57,8,,,,,,,
Jake,9,23,22,54,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Faithless,110,137,122,0,369,363,6,W,7,3,R,
(2-0),0,2,1,4,7,,,,,,,
(1-2),2,0,1,0,3,,,,,,,
