Teams,Tag,P,W,T,L,F,A,Dif,Pts,,,
Daisy Squad,124,111,108,-10,333,390,-57,L,2,8,R,
swig,41,29,46,116,2,,,,,,,
The Funky Slayer,29,35,29,93,4,,,,,,,
LukeGB,26,28,13,67,7,,,,,,,
JAVO,27,16,19,62,8,,,,,,,
Liz Truss,1,3,1,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/23/22,D,8,IF,2,58,,,,,,,
D vs IF (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Kevin,32,33,40,105,1,,,,,,,
swig,33,26,40,99,3,,,,,,,
The Funky Slayer,27,40,29,96,4,,,,,,,
JAVO,35,16,37,88,6,,,,,,,
MAKI,4,0,3,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Daisy Squad,131,115,149,0,395,337,58,W,8,2,R,
(1-3),2,0,2,4,8,,,,,,,
(1-2),0,2,0,0,2,,,,,,,
Infinite Fusion,113,129,95,0,337,395,-58,L,2,8,R,
Barry,40,39,24,103,2,,,,,,,
tay,30,33,29,92,5,,,,,,,
vtr,24,29,25,78,7,,,,,,,
moises,19,24,16,59,8,,,,,,,
UsosloW,0,4,1,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/23/22,IF,6,jc,4,40,,,,,,,
IF vs jc (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Berry,48,60,38,146,1,,,,,,,
tay,35,22,28,85,4,,,,,,,
vtr,33,15,18,66,6,,,,,,,
moises,20,19,26,65,7,,,,,,,
UsosloW,1,1,2,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Infinite Fusion,137,117,112,0,366,326,40,W,6,4,R,
(2-2),2,0,0,4,6,,,,,,,
(1-1),0,2,2,0,4,,,,,,,
perma jc,107,127,132,-40,326,366,-40,L,4,6,R,
paul,45,32,42,119,2,,,,,,,
12SUP34HUM4NHD56,18,37,50,105,3,,,,,,,
Sharptoothedrat,28,27,16,71,5,,,,,,,
mike,13,28,22,63,8,,,,,,,
Luxii,3,3,2,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/27/22,XI,10,NL,0,110,,,,,,,
XI vs NL (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Fox,43,44,24,111,2,,,,,,,
barney,37,40,33,110,3,,,,,,,
Xander,33,28,44,105,4,,,,,,,
Feysal,37,21,34,92,5,,,,,,,
Jazz,1,2,0,3,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Lazarus,151,135,135,0,421,311,110,W,10,0,R,
(3-0),2,2,2,4,10,,,,,,,
(2-2),0,0,0,0,0,,,,,,,
Netherlands,93,109,109,0,311,421,-110,L,0,10,R,
Leops,33,44,36,113,1,,,,,,,
Mae,22,30,25,77,6,,,,,,,
Thomas,25,15,25,65,7,,,,,,,
Leo ,10,18,19,47,8,,,,,,,
Joris,3,2,4,9,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/28/22,D,8,jc,2,18,,,,,,,
D vs jc (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
The Funky Slayer,33,42,42,117,1,,,,,,,
Sammeh,30,34,28,92,4,,,,,,,
Kevin,28,27,26,81,6,,,,,,,
JAVO,16,24,38,78,7,,,,,,,
MAKI,3,1,3,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Daisy Squad,110,128,137,0,375,357,18,W,8,2,R,
(2-3),0,2,2,4,8,,,,,,,
(1-2),2,0,0,0,2,,,,,,,
perma jc,134,116,107,0,357,375,-18,L,2,8,R,
yui,45,28,24,97,2,,,,,,,
paul,35,27,35,97,2,,,,,,,
ornan,26,34,26,86,5,,,,,,,
mike,27,24,21,72,8,,,,,,,
Luxii,1,3,1,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/22,D,10,NL,0,114,,,,,,,
D vs NL (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Kevin,33,49,39,121,1,,,,,,,
swig,45,17,47,109,2,,,,,,,
Sammeh,40,43,18,101,4,,,,,,,
The Funky Slayer,28,34,24,86,5,,,,,,,
MAKI,2,1,3,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Daisy Squad,148,144,131,0,423,309,114,W,10,0,R,
(3-3),2,2,2,4,10,,,,,,,
(2-3),0,0,0,0,0,,,,,,,
Netherlands,96,100,113,0,309,423,-114,L,0,10,R,
Leops,34,35,36,105,3,,,,,,,
Korra,25,18,34,77,6,,,,,,,
Rubin Spieler,16,20,30,66,7,,,,,,,
Mario,19,24,12,55,8,,,,,,,
Joris,2,3,1,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/22,Se,10,jc,0,110,,,,,,,
Se vs jc (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Shawn,31,37,45,113,1,,,,,,,
Kasperinos,28,54,23,105,2,,,,,,,
Revan,38,30,32,100,3,,,,,,,
Edison,35,18,41,94,5,,,,,,,
Serena,1,1,2,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Superbia,133,140,143,0,416,306,110,W,10,0,R,
(2-2),2,2,2,4,10,,,,,,,
(1-3),0,0,0,0,0,,,,,,,
perma jc,111,104,101,-10,306,416,-110,L,0,10,R,
Thunda,25,36,36,97,4,,,,,,,
paul,29,15,30,74,6,,,,,,,
mike,32,25,17,74,6,,,,,,,
ornan,22,25,16,63,8,,,,,,,
Luxii,3,3,2,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/22,Se,10,IF,0,52,,,,,,,
Se vs IF (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Revan,38,41,35,114,1,,,,,,,
Kasperinos,39,31,30,100,3,,,,,,,
Shawn,29,31,32,92,4,,,,,,,
Edison,19,34,28,81,5,,,,,,,
Maq (1) / Serena (11),2,1,2,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Superbia,127,138,127,0,392,340,52,W,10,0,R,
(3-2),2,2,2,4,10,,,,,,,
(2-3),0,0,0,0,0,,,,,,,
Infinite Fusion,118,106,116,0,340,392,-52,L,0,10,R,
tay,27,40,35,102,2,,,,,,,
Berry,33,20,27,80,6,,,,,,,
vtr,26,30,22,78,7,,,,,,,
Snow,29,13,31,73,8,,,,,,,
