Teams,Tag,P,W,T,L,F,A,Dif,Pts,,,
Pure,P,10,7,0,3,3705,3128,577,70,,Matches,40
Butterfly Effect,fly,10,7,0,3,3651,3560,91,64,,Completed,40
Team Gun,GUN,10,6,0,4,3696,3544,152,59,,,
Avail,Av,10,5,0,5,3595,3575,20,54,,Sum of Wins,40
Mount Olympus,Mt,10,6,0,4,3621,3594,27,49,,Sum of Losses,40
Unxseen,UX,10,5,0,5,3604,3683,-79,48,,,
MY13,MY13,10,3,0,7,3518,3732,-214,28,,,
Melody,M,10,1,0,9,3087,3661,-574,28,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/15/2022,fly,10,Mt,0,27,,,,,,,
fly v. Mt (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Salvatore,44,51,51,146,1,,,,,,,
Alex,32,25,33,90,4,,,,,,,
Mystery,27,34,17,78,6,,,,,,,
Razz,26,15,16,57,7,,,,,,,
Kim,3,2,1,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Butterfly Effect,132,122,118,-5,372,345,27,W,10,0,R,
(1-0),2,2,2,4,10,,,,,,,
(0-1),0,0,0,0,0,,,,,,,
Mount Olympus,112,117,116,-10,345,372,-27,L,0,10,R,
Zyra,39,40,36,115,2,,,,,,,
Fred,31,36,28,95,3,,,,,,,
broty,19,24,39,82,5,,,,,,,
Lonie,22,15,20,57,7,,,,,,,
Asuna,1,2,3,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/15/2022,P,10,Av,0,154,,,,,,,
P v. Av (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
BBoy02,1,10,1,12,9,,,,,,,
Fusion,30,34,24,88,4,,,,,,,
Mio,31,37,46,114,2,,,,,,,
Saky,42,39,21,102,3,,,,,,,
Yasu,39,43,35,117,1,OP Scr,+/-,WTD,TpF,TpA,Event,
Pure,143,163,127,0,433,279,154,W,10,0,R,
(1-0),2,2,2,4,10,,,,,,,
(0-1),0,0,0,0,0,,,,,,,
Avail,81,81,117,0,279,433,-154,L,0,10,R,
Aurora,21,30,30,81,5,,,,,,,
Ballin,15,15,39,69,6,,,,,,,
Jam,19,14,23,56,7,,,,,,,
Malone,23,21,22,66,8,,,,,,,
Noob,3,1,3,7,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/15/2022,P,10,MY13,0,26,,,,,,,
P v. MY13 (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
yasu,32,41,44,117,1,,,,,,,
saky,30,40,30,100,3,,,,,,,
Mio,39,24,34,97,4,,,,,,,
Fusion,23,21,24,68,8,,,,,,,
Bboy02,4,2,1,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
